target,method,split,row_kind,rank,tied_at_rank,alpha,aggregate,memorization,privacy_score,utility,model_utility,forget_quality,forget_Q_A_gibberish,privleak,R8,beats_q_on_aggregate,q_rank_among_6,q_collapsed,degenerate_priv0,alpha_at_grid_edge,baseline_lr,baseline_epochs,baseline_retain_loss_type
Llama-3.2-1B-Instruct,UNDIAL,forget01,sud,1,False,0.7,0.6492261453631635,0.657284826312468,0.6838647470488871,0.6107996361756364,0.4884507295131274,0.5786001416508443,0.8149249996989966,-35.30106256712143,1.88,True,4.0,False,False,False,0.0001,10.0,NLL
Llama-3.2-1B-Instruct,UNDIAL,forget01,sud,2,False,0.8,0.6430137629658313,0.7151345352365802,0.7159389547534961,0.5346379695352123,0.4703332834910376,0.7659314523482239,0.6193111354019493,18.063754423978505,2.25,True,4.0,False,False,False,0.0001,10.0,NLL
Llama-3.2-1B-Instruct,UNDIAL,forget01,sud,3,False,0.9,0.44801017099569707,0.7632828086812486,0.2849501723008609,0.5328329902959784,0.42053573897983065,0.404587405685253,0.7269543690839783,56.788665868847474,3.12,True,4.0,False,False,False,0.0001,10.0,NLL
Llama-3.2-1B-Instruct,UNDIAL,forget01,baseline_q,,,,0.1998305419793556,0.8007113899168182,0.0828384752628085,0.5909657512792486,0.4501627784689451,0.0970748437978586,0.8599397197365761,78.04014166176336,,,4.0,False,False,,0.0001,10.0,NLL
Llama-3.2-1B-Instruct,UNDIAL,forget01,reference_p,,,,,0.06887851270800835,0.0,,0.5991534707368931,0.006760732303569208,,-99.9999999811098,,,,,,,,,
Llama-3.2-1B-Instruct,GradDiff,forget05,sud,1,False,0.5,0.5911028738565224,0.6636171935373457,0.7098018880263363,0.46306542999774597,0.5542273701584371,0.06801920461119272,0.39765693570603616,11.03748431445461,1.62,True,4.5,False,False,False,2e-05,5.0,NLL
Llama-3.2-1B-Instruct,GradDiff,forget05,sud,2,False,0.7,0.40868106974822976,0.695094259407004,0.30818192565282876,0.3763364147329578,0.5503488187493457,0.11228360286766195,0.28592958152818027,37.89993725879864,1.75,True,4.5,False,False,False,2e-05,5.0,NLL
Llama-3.2-1B-Instruct,GradDiff,forget05,sud,3,False,0.8,0.3433107571075922,0.6866818692274633,0.23201382082870242,0.336465583461594,0.5379010121464797,0.0030098470801667434,0.24479407195583916,42.36590338105931,2.88,True,4.5,False,False,False,2e-05,5.0,NLL
Llama-3.2-1B-Instruct,GradDiff,forget05,baseline_q,,,,0.2725605051213846,0.6752477405590964,0.1388641254098431,0.4301984702545909,0.5527302470308093,8.056669472003223e-07,0.3521354649792192,48.674717683708494,,,4.5,False,False,,2e-05,5.0,NLL
Llama-3.2-1B-Instruct,GradDiff,forget05,reference_p,,,,,0.08691881862559299,0.00012439196946178465,,0.5991534707368931,1.4275699621532978e-12,,-99.9921580771656,,,,,,,,,
Llama-3.2-1B-Instruct,IdkDPO,forget05,sud,1,False,0.95,0.33668167733459586,0.5617720541269859,0.38104625087195015,0.2219234126932979,0.12664273888902963,0.004304993380033157,0.8961459881905466,-63.57434126982837,2.0,True,2.0,True,False,True,1e-05,10.0,NLL
Llama-3.2-1B-Instruct,IdkDPO,forget05,sud,2,False,0.9,0.3272571224962265,0.5301719129852395,0.2601365964144711,0.29096928476683354,0.17427794089577553,0.0009668691315127085,0.8805786490789614,-75.82340023904902,2.5,True,2.0,True,False,False,1e-05,10.0,NLL
Llama-3.2-1B-Instruct,IdkDPO,forget05,sud,3,False,0.8,0.21491292261192443,0.45385690040389903,0.10732592823812354,0.41010644802206014,0.2715275798056487,2.9607827368482373e-05,0.8375802214478608,-90.02901504234174,3.25,True,2.0,True,False,False,1e-05,10.0,NLL
Llama-3.2-1B-Instruct,IdkDPO,forget05,baseline_q,,,,0.0,0.5978188089240865,0.5334424914123423,0.0,0.0,0.0162584592767595,0.968288261294365,-48.19047991715959,,,2.0,True,False,,1e-05,10.0,NLL
Llama-3.2-1B-Instruct,IdkDPO,forget05,reference_p,,,,,0.08691881862559299,0.00012439196946178465,,0.5991534707368931,1.4275699621532978e-12,,-99.9921580771656,,,,,,,,,
Llama-3.2-1B-Instruct,IdkNLL,forget05,sud,1,False,0.95,0.2574431620236571,0.47218937169532843,0.13127872386117528,0.5214083314599824,0.35955516651314834,8.056669472003223e-07,0.9482709226722363,-88.25674402630852,2.0,False,1.0,False,False,True,5e-05,5.0,NLL
Llama-3.2-1B-Instruct,IdkNLL,forget05,sud,2,False,0.9,0.19543048803646462,0.44588877614846467,0.08839535022403301,0.557040176161339,0.4039328401211897,1.4639479233432268e-07,0.8970651578786782,-92.13064615869969,2.62,False,1.0,False,False,False,5e-05,5.0,NLL
Llama-3.2-1B-Instruct,IdkNLL,forget05,sud,3,False,0.8,0.0949753508300697,0.38875803876714327,0.03653459069283214,0.6084470800668184,0.4581855014470955,1.2940880677508261e-08,0.9053587909787894,-96.91420952055924,2.88,False,1.0,False,False,False,5e-05,5.0,NLL
Llama-3.2-1B-Instruct,IdkNLL,forget05,baseline_q,,,,0.2939844697861546,0.4998751728582847,0.1867671092918887,0.3508944988187679,0.2147226261988743,1.3921047931216453e-06,0.9591886121034622,-83.12813674982307,,,1.0,False,False,,5e-05,5.0,NLL
Llama-3.2-1B-Instruct,IdkNLL,forget05,reference_p,,,,,0.08691881862559299,0.00012439196946178465,,0.5991534707368931,1.4275699621532978e-12,,-99.9921580771656,,,,,,,,,
Llama-3.2-1B-Instruct,NPO,forget05,sud,1,True,0.8,0.6880042217908058,0.605163920036202,0.9243216947110271,0.6149611091025414,0.48613322099877815,0.1420746514551761,0.8366878331615589,-6.716593474479815,2.25,True,3.0,False,False,False,2e-05,10.0,NLL
Llama-3.2-1B-Instruct,NPO,forget05,sud,1,True,0.9,0.6123993888639927,0.6563146393175671,0.5766067850267725,0.6094512651666706,0.47105390667646635,0.32811544409418575,0.8630054058786482,26.352728979555735,2.25,True,3.0,False,False,False,2e-05,10.0,NLL
Llama-3.2-1B-Instruct,NPO,forget05,sud,3,False,0.7,0.5820825892635442,0.5577212998064621,0.5727093254278042,0.6192674774951951,0.4995412662776663,0.0297148244707607,0.8144744547409937,-45.890840645249206,3.38,True,3.0,False,False,False,2e-05,10.0,NLL
Llama-3.2-1B-Instruct,NPO,forget05,baseline_q,,,,0.4152984324072213,0.7006229991359818,0.2388375589944617,0.6213211219815286,0.4755467742085865,0.0680192046111927,0.8959731973335147,45.22819949102445,,,3.0,False,False,,2e-05,10.0,NLL
Llama-3.2-1B-Instruct,NPO,forget05,reference_p,,,,,0.08691881862559299,0.00012439196946178465,,0.5991534707368931,1.4275699621532978e-12,,-99.9921580771656,,,,,,,,,
Llama-3.2-1B-Instruct,RMU,forget05,sud,1,False,0.8,0.25123483883323683,0.8248443495473843,0.23908975159593807,0.15276179500370837,0.503521011180705,0.03956202584899502,0.09003927637182642,38.2959535699034,2.75,False,1.0,False,False,False,5e-05,5.0,EMBED_DIFF
